id,pour_volume,pressure,comment,ph,hysteresis,sg,time,count,volume_unit,rssi,temp,temp_target,device_integration,fridgeTemp,report_source,percentage,device_source,bpm,roomTemp,gravity_target,battery,volume,device_state,max_volume,beer,angle,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint
KOMORA,,,,,,,1750864660154,,,,8.5,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,TXzLlAzjmQbOVNjRIBJB,2025-06-25T15:17:40.154Z
KOMORA,,,,,,,1750861033742,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,jtJFKSUJuBh626boGwg7,2025-06-25T14:17:13.742Z
KOMORA,,,,,,,1750857431006,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,eUUfZjC6GsSnx0wwQEZK,2025-06-25T13:17:11.006Z
KOMORA,,,,,,,1750853833318,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,zegnDFpjXPaxmiOz9fmY,2025-06-25T12:17:13.318Z
KOMORA,,,,,,,1750850232912,,,,8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,owPrd4ObHbiId7R5JDXg,2025-06-25T11:17:12.912Z
KOMORA,,,,,,,1750846632209,,,,8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,eCZbNJbR7BL4srGkuMxF,2025-06-25T10:17:12.209Z
KOMORA,,,,,,,1750843031052,,,,7.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,kzmInvg62SuS0tawieSA,2025-06-25T09:17:11.052Z
KOMORA,,,,,,,1750839430820,,,,7.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,DnAI6uT1PZPQzP2TMZjn,2025-06-25T08:17:10.820Z
KOMORA,,,,,,,1750835829289,,,,7.7,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,KHEhwSdh0ciwNEJQqXw0,2025-06-25T07:17:09.289Z
KOMORA,,,,,,,1750832230923,,,,7.7,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,KeUueNZIjA53VvFrxW5C,2025-06-25T06:17:10.923Z
KOMORA,,,,,,,1750828630595,,,,7.6,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,9pX5wE7yKBFQKOrBk4m1,2025-06-25T05:17:10.595Z
