fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,0.3,1.01,,,,,,default,,,stream,,,,,,1741919921974,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,ugQOA5xQkqssYrntlWw0,2025-03-14T02:38:41.974Z
,,0.8,1.01,,,,,,default,,,stream,,,,,,1741916322157,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,uR90xd2cK4WjGRmQayPW,2025-03-14T01:38:42.157Z
,,1,1.01,,,,,,default,,,stream,,,,,,1741912722105,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,NBEKNkgkVySqasZnlfz7,2025-03-14T00:38:42.105Z
,,1.2,1.01,,,,,,default,,,stream,,,,,,1741909119589,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,Lpd4gMN9vXAH14merzrL,2025-03-13T23:38:39.589Z
,,1.5,1.01,,,,,,default,,,stream,,,,,,1741905517121,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,zjKoDoteWsbVDEhGWtYO,2025-03-13T22:38:37.121Z
,,1.7,1.01,,,,,,default,,,stream,,,,,,1741901918106,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,hdFMSZm9g6KllRcb8oKF,2025-03-13T21:38:38.106Z
,,1.7,1.01,,,,,,default,,,stream,,,,,,1741901021630,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,ayn64DLnYfuqZ6hH3hH9,2025-03-13T21:23:41.630Z
,,1.8,1.01,,,,,,default,,,stream,,,,,,1741900119713,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,EcOeg4N0M51fyfiWf6Hw,2025-03-13T21:08:39.713Z
,,1.9,1.01,,,,,,default,,,stream,,,,,,1741899218396,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,vEibOtgW44BzKiggrFJA,2025-03-13T20:53:38.396Z
,,1.9,1.01,,,,,,default,,,stream,,,,,,1741898320199,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,uaFKDkapeF0wxzNTgBng,2025-03-13T20:38:40.199Z
